installation_date,lPV_system_size_DC,PV_system_size_DC,ltotal_installed_price,total_installed_price,lrebate_or_grant,rebate_or_grant,zip_code,city,state,lzip_code_id,zip_code_id,lzip_income,zip_income
11/4/2015 0:00,0.301029996,2,3.30103,2000,0,1,92392,VICTORVILLE,CA,4.386980257,24377,6.01183762,1027632
########,0.62324929,4.2,3.30103,2000,0,1,95117,SAN JOSE,CA,4.404491618,25380,6.113262313,1297963
11/3/2016 0:00,0.748188027,5.6,3.30103,2000,0,1,90723,PARAMOUNT,CA,4.377397327,23845,5.966309315,925357
########,0.789580712,6.16,3.30103,2000,0,1,92704,SANTA ANA,CA,4.419741025,26287,6.222036151,1667386
########,0.79518459,6.24,3.305996,2023,0,1,92336,FONTANA,CA,4.434632766,27204,6.407328688,2554634
6/25/2020 0:00,0.847572659,7.04,3.342423,2200,0,1,95122,SAN JOSE,CA,4.400607057,25154,6.088106662,1224917
########,0.867467488,7.37,3.342423,2200,0,1,91381,STEVENSON RANCH,CA,4.405807223,25457,6.121195317,1321890
8/1/2016 0:00,1.049218023,11.2,3.342423,2200,0,1,92843,GARDEN GROVE,CA,4.366217436,23239,5.915039797,822318
########,0.702430536,5.04,3.39794,2500,0,1,95035,MILPITAS,CA,4.43966421,27521,6.593667348,3923443
########,0.350248018,2.24,3.408674,2562.56,0,1,93444,NIPOMO,CA,4.366535019,23256,5.916518167,825122
4/13/2016 0:00,0.835056102,6.84,3.41162,2580,0,1,91320,NEWBURY PARK,CA,4.434169553,27175,6.397780333,2499081
1/25/2016 0:00,0.7930916,6.21,3.414305,2596,0,1,92129,SAN DIEGO,CA,4.434999791,27227,6.414525627,2597321
4/5/2016 0:00,0.862131379,7.28,3.414973,2600,0,1,91354,VALENCIA,CA,4.416723698,26105,6.194046495,1563315
7/29/2019 0:00,0.387389826,2.44,3.431364,2700,0,1,91977,SPRING VALLEY,CA,4.412258894,25838,6.160805151,1448122
12/4/2020 0:00,0.610660163,4.08,3.436163,2730,0,1,93906,SALINAS,CA,4.407322908,25546,6.129663151,1347917
########,0.894316063,7.84,3.447158,2800,0,1,92024,ENCINITAS,CA,4.439506377,27511,6.582265456,3821778
11/4/2016 0:00,0.894316063,7.84,3.447158,2800,0,1,92056,OCEANSIDE,CA,4.423114746,26492,6.250880403,1781888
6/10/2016 0:00,0.894316063,7.84,3.447158,2800,0,1,95111,SAN JOSE,CA,4.417205887,26134,6.197860058,1577103
########,0.477121255,3,3.460567,2887.8,0,1,93552,PALMDALE,CA,4.354780499,22635,5.862969331,729406
########,0.017033339,1.04,3.476397,2995,3.042953,1103.96,78748,-1,TX,4.419724504,26286,6.221915539,1666923
########,0.017033339,1.04,3.476397,2995,3.042953,1103.96,78748,-1,TX,4.419724504,26286,6.221915539,1666923
8/6/2015 0:00,0.862131379,7.28,3.477121,3000,0,1,92703,SANTA ANA,CA,4.381205361,24055,5.983401641,962502
3/7/2016 0:00,0.924279286,8.4,3.477121,3000,0,1,94521,CONCORD,CA,4.425224365,26621,6.271897109,1870239
########,0.387389826,2.44,3.480582,3024,0,1,95112,SAN JOSE,CA,4.424963263,26605,6.269925561,1861768
9/7/2016 0:00,0.619093331,4.16,3.481012,3027,0,1,92701,SANTA ANA,CA,4.360801613,22951,5.888687091,773904
7/20/2015 0:00,0.879038505,7.569,3.482159,3035,0,1,92115,SAN DIEGO,CA,4.408663874,25625,6.137964923,1373931
4/23/2020 0:00,1.034979199,10.83875,3.491796,3103.1,0,1,93727,FRESNO,CA,4.412662107,25862,6.163666962,1457696
7/20/2015 0:00,0.903849338,8.014,3.506911,3213,0,1,92115,SAN DIEGO,CA,4.408663874,25625,6.137964923,1373931
12/4/2015 0:00,0.176091259,1.5,3.507975,3220.88,2.576341,377,90019,Los Angeles,CA,4.420483846,26332,6.227636335,1689026
1/13/2020 0:00,0.5774918,3.78,3.509458,3231.9,0,1,94087,SUNNYVALE,CA,4.440767441,27591,6.709265805,5119951
1/17/2019 0:00,0.37989554,2.398256,3.510545,3240,0,1,93720,FRESNO,CA,4.427388723,26754,6.292891316,1962869
########,0.494154594,3.12,3.513883,3265,0,1,84721,-1,UT,4.310225849,20428,5.658662827,455683
########,0.45484486,2.85,3.523698,3339.63,0,1,91766,POMONA,CA,4.403532305,25324,6.105615765,1275310
4/6/2019 0:00,0.563481085,3.66,3.55508,3589.88,0,1,91740,GLENDORA,CA,4.366665721,23263,5.916914846,825876
########,0.5289167,3.38,3.563955,3664,0,1,93551,PALMDALE,CA,4.421949251,26421,6.241157832,1742440
1/7/2019 0:00,0.645913275,4.425,3.565526,3677.27,0,1,93662,SELMA,CA,4.319293484,20859,5.702321949,503874
########,0.602059991,4,3.567849,3697,0,1,92128,SAN DIEGO,CA,4.434089638,27170,6.395017471,2483233
########,0.113943352,1.3,3.573336,3744,3.139863,1379.95,78748,-1,TX,4.419724504,26286,6.221915539,1666923
########,0.113943352,1.3,3.573336,3744,3.139863,1379.95,78748,-1,TX,4.419724504,26286,6.221915539,1666923
4/11/2019 0:00,1.104828404,12.73,3.579784,3800,0,1,92780,TUSTIN,CA,4.418035992,26184,6.206790538,1609869
########,0.975431809,9.45,3.581278,3813.1,3.849358,7069,92315,Big Bear Lake,CA,4.222794481,16703,5.302737754,200788
########,0.51054501,3.24,3.589726,3888,0,1,92377,RIALTO,CA,4.329255464,21343,5.747180226,558702
########,0.544068044,3.5,3.590078,3891.15,0,1,91708,CHINO,CA,4.283120235,19192,5.544342184,350221
7/7/2015 0:00,0.40654018,2.55,3.592931,3916.8,0,1,92532,LAKE ELSINORE,CA,4.351970144,22489,5.848418216,705372
########,0.485721426,3.06,3.597695,3960,0,1,93615,CUTLER,CA,4.026574118,10631,4.766717639,58441
########,0.414973348,2.6,3.599665,3978,0,1,92630,LAKE FOREST,CA,4.435716988,27272,6.433297051,2712046
7/12/2019 0:00,0.916980047,8.26,3.600428,3985,0,1,91351,CANYON COUNTRY,CA,4.381584335,24076,5.985371229,966877
########,0.496237545,3.135,3.60206,4000,0,1,91763,MONTCLAIR,CA,4.359418056,22878,5.88219485,762421
8/6/2019 0:00,0.568788212,3.705,3.60206,4000,2.912753,818,91344,Granada Hills,CA,4.427599699,26767,6.295562262,1974978
########,1.049218023,11.2,3.60206,4000,0,1,95122,SAN JOSE,CA,4.400607057,25154,6.088106662,1224917
1/12/2016 0:00,0.5289167,3.38,3.602635,4005.3,0,1,95640,IONE,CA,4.241870089,17453,5.376049279,237711
7/20/2015 0:00,1.001993174,10.046,3.603794,4016,0,1,92115,SAN DIEGO,CA,4.408663874,25625,6.137964923,1373931
########,0.544068044,3.5,3.605703,4033.69,0,1,90505,TORRANCE,CA,4.426836454,26720,6.288158421,1941594
########,0.826074803,6.7,3.612784,4100,0,1,95045,SAN JUAN BAUTISTA,CA,4.193820026,15625,5.203965238,159943
6/11/2015 0:00,0.526339277,3.36,3.612996,4102,0,1,93215,DELANO,CA,4.344117068,22086,5.813189881,650414
12/8/2016 0:00,0.669781615,4.675,3.619511,4164,0,1,92630,LAKE FOREST,CA,4.435716988,27272,6.433297051,2712046
########,0.51851394,3.3,3.624076,4208,0,1,92056,OCEANSIDE,CA,4.423114746,26492,6.250880403,1781888
########,0.537189226,3.445,3.628593,4252,0,1,93660,SAN JOAQUIN,CA,4.004965887,10115,4.724963641,53084
7/27/2016 0:00,0.602059991,4,3.629733,4263.17,0,1,92691,MISSION VIEJO,CA,4.42920301,26866,6.313922031,2060260
8/8/2016 0:00,0.716003344,5.2,3.632457,4290,0,1,95648,LINCOLN,CA,4.430687669,26958,6.334404488,2159755
########,0.494154594,3.12,3.63261,4291.51,0,1,92562,MURRIETA,CA,4.431379849,27001,6.345526638,2215780
########,0.477121255,3,3.633973,4305,0,1,91744,LA PUENTE,CA,4.414237765,25956,6.175409171,1497646
1/25/2019 0:00,0.480725379,3.025,3.634051,4305.77,0,1,95901,MARYSVILLE,CA,4.339451441,21850,5.792984587,620847
7/14/2015 0:00,0.561101384,3.64,3.638489,4350,0,1,92027,ESCONDIDO,CA,4.4142043,25954,6.174979491,1496165
########,0.086359831,1.22,3.639984,4365,0,1,92109,SAN DIEGO,CA,4.430993652,26977,6.340743259,2191509
########,0.51851394,3.3,3.643975,4405.29,0,1,93710,FRESNO,CA,4.334192292,21587,5.768667694,587040
########,0.5774918,3.78,3.645008,4415.79,0,1,92557,MORENO VALLEY,CA,4.393434803,24742,6.047921737,1116662
6/27/2019 0:00,0.552668216,3.57,3.649627,4463,0,1,92130,SAN DIEGO,CA,4.440861874,27597,6.719965441,5247657
12/3/2015 0:00,0.494154594,3.12,3.651084,4478,0,1,92234,CATHEDRAL CITY,CA,4.384998193,24266,6.002000091,1004616
7/22/2019 0:00,0.929521101,8.502,3.655138,4520,0,1,93536,QUARTZ HILL,CA,4.427193884,26742,6.291340874,1955874
########,0.552668216,3.57,3.657916,4549,0,1,92056,OCEANSIDE,CA,4.423114746,26492,6.250880403,1781888
########,0.602059991,4,3.658761,4557.86,0,1,93637,MADERA,CA,4.364513474,23148,5.906469189,806249
########,0.561101384,3.64,3.661529,4587,0,1,91384,CASTAIC,CA,4.372027793,23552,5.940594671,872157
########,0.485721426,3.06,3.661813,4590,0,1,92173,SAN YSIDRO,CA,4.358867198,22849,5.879698425,758051
7/29/2016 0:00,0.552668216,3.57,3.669689,4674,0,1,93622,FIREBAUGH,CA,4.212560458,16314,5.267260926,185038
########,0.619093331,4.16,3.669967,4677,0,1,92120,SAN DIEGO,CA,4.406165333,25478,6.123131029,1327795
7/24/2015 0:00,0.602059991,4,3.673666,4717,0,1,91902,BONITA,CA,4.374418377,23682,5.952285713,895954
10/6/2015 0:00,0.5289167,3.38,3.674953,4731,0,1,92071,SANTEE,CA,4.424505956,26577,6.264853934,1840153
########,0.431685345,2.702,3.676876,4752,0,1,93108,SANTA BARBARA,CA,4.423458872,26513,6.254131225,1795276
11/7/2016 0:00,0.582631439,3.825,3.676876,4752,0,1,92114,SAN DIEGO,CA,4.410726633,25747,6.150675712,1414737
########,0.580482705,3.806122,3.678729,4772.31,0,1,92630,LAKE FOREST,CA,4.435716988,27272,6.433297051,2712046
11/3/2020 0:00,0.5774918,3.78,3.679204,4777.54,0,1,92301,ADELANTO,CA,4.30418883,20146,5.632629356,429170
1/28/2016 0:00,0.636989102,4.335,3.681137,4798.85,0,1,93657,SANGER,CA,4.360971884,22960,5.889945662,776150
1/21/2015 0:00,0.326335861,2.12,3.682989,4819.36,3.289366,1947,94513,Brentwood,CA,4.436146739,27299,6.44719541,2800241
8/7/2015 0:00,0.326335861,2.12,3.682989,4819.36,3.14145,1385,92407,San Bernardino,CA,4.404097871,25357,6.110959545,1291099
7/5/2016 0:00,0.326335861,2.12,3.685369,4845.84,3.126781,1339,94568,Dublin,CA,4.439900853,27536,6.613241849,4104326
