data_provider_1,data_provider_2,system_ID_1,system_ID_2,installation_date,PV_system_size_DC,total_installed_price,rebate_or_grant,customer_segment,expansion_system,multiple_phase_system,TTS_link_ID,new_construction,tracking,ground_mounted,zip_code,city,state,utility_service_territory,third_party_owned,installer_name,self_installed,azimuth_1,azimuth_2,azimuth_3,tilt_1,tilt_2,tilt_3,module_manufacturer_1,module_model_1,module_quantity_1,module_manufacturer_2,module_model_2,module_quantity_2,module_manufacturer_3,module_model_3,module_quantity_3,additional_modules,technology_module_1,technology_module_2,technology_module_3,BIPV_module_1,BIPV_module_2,BIPV_module_3,bifacial_module_1,bifacial_module_2,bifacial_module_3,nameplate_capacity_module_1,nameplate_capacity_module_2,nameplate_capacity_module_3,efficiency_module_1,efficiency_module_2,efficiency_module_3,inverter_manufacturer_1,inverter_model_1,inverter_quantity_1,inverter_manufacturer_2,inverter_model_2,inverter_quantity_2,inverter_manufacturer_3,inverter_model_3,inverter_quantity_3,additional_inverters,micro_inverter_1,micro_inverter_2,micro_inverter_3,built_in_meter_inverter_1,built_in_meter_inverter_2,built_in_meter_inverter_3,output_capacity_inverter_1,output_capacity_inverter_2,output_capacity_inverter_3,DC_optimizer,inverter_loading_ratio,battery_manufacturer,battery_model,battery_rated_capacity_kW,battery_rated_capacity_kWh,battery_price,technology_type,extensions_multiphase_id
California Public Utilities Commission,-1,SDGE-INT-159035,-1,26-Mar-2018,5.13,22777.0,0.0,RES,1,1,tts_extension_id_119203,-1,0,0,92057,OCEANSIDE,CA,San Diego Gas and Electric,1,Sunrun Inc.,0,356.0,-1.0,-1.0,20.0,-1,-1,"Jinko Solar Co., Ltd",JKM285M-60B,18,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,285.0,-1.0,-1.0,0.185094261688216,-1.0,-1.0,SolarEdge Technologies Ltd.,SE3800H-US [240V],18.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,3.747,-1.0,-1.0,1,-1.0,-1,-1,-1.0,-1.0,-1.0,pv-only,000000022672DBF2
Tucson Electric Power,-1,TEPDG-19079,-1,07-Jun-2019,6.6,17505.53,0.0,RES,0,0,-1,-1,-1,-1,85710,-1,AZ,Tucson Electric Power,-1,Titan Solar,0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
Xcel Energy,-1,OID4033693,-1,12-Jan-2021,7.68,38400.0,-1.0,RES,0,0,-1,-1,-1,-1,-1,-1,CO,Xcel Energy,0,redacted,-1,180.0,-1.0,-1.0,25.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1,1.536,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,SCE-INT-NST-273765,-1,07-Jun-2022,5.25,27126.75,0.0,RES,0,0,-1,-1,0,0,92392,VICTORVILLE,CA,Southern California Edison,1,Sunrun Inc.,0,180.0,-1.0,-1.0,18.0,-1,-1,"LONGi Green Energy Technology Co., Ltd.",LR4-60HPB-350M,15,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,350.0,-1.0,-1.0,0.19774011299435,-1.0,-1.0,Enphase Energy Inc.,IQ7-60-2-US [240V],15.0,-1,-1,-1,-1,-1,-1,0,1,-1,-1,0,-1,-1,0.24,-1.0,-1.0,0,1.45833333333333,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,SCE-INT-SCE-44629,-1,26-Jan-2016,7.0,15642.55,0.0,RES,0,0,-1,-1,0,0,92831,FULLERTON,CA,Southern California Edison,1,Sungevity Development LLC,0,270.0,-1.0,-1.0,18.0,-1,-1,Trina Solar,TSM-250PD05.05,12,-1,-1,-1,-1,-1,-1,0,Polycrystalline,-1,-1,0,-1,-1,0,-1,-1,250.0,-1.0,-1.0,0.154477849421171,-1.0,-1.0,ABB,PVI-6000-OUTD-US-A [240V],1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,6.0,-1.0,-1.0,0,1.16666666666667,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
New Jersey Board of Public Utilities,-1,NJSRRE1541675887,-1,18-Jul-2019,17.64,-1.0,0.0,RES,0,1,tts_extension_id_33593,-1,-1,-1,08822,Flemington,NJ,JCPL,0,Advanced Solar & Energy Solutions,0,-1.0,-1.0,-1.0,-1.0,-1,-1,redacted,redacted,-1,redacted,redacted,-1,redacted,redacted,-1,-1,redacted,redacted,redacted,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,redacted,redacted,-1.0,redacted,redacted,-1,redacted,redacted,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1,-1.0,redacted,redacted,-1.0,-1.0,-1.0,redacted,00000000C572FE6B
California Public Utilities Commission,-1,SCE-INT-SCE-23206,-1,28-Sep-2015,6.24,31948.0,0.0,RES,0,0,-1,-1,0,0,93247,LINDSAY,CA,Southern California Edison,1,Tesla Energy,0,-1.0,-1.0,-1.0,-1.0,-1,-1,REC Solar,REC260PE,24,-1,-1,-1,-1,-1,-1,0,Polycrystalline,-1,-1,0,-1,-1,0,-1,-1,260.0,-1.0,-1.0,0.163846924120599,-1.0,-1.0,Fronius International GmbH,FRONIUS PRIMO 5.0-1 208-240 [240V],1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,5.0,-1.0,-1.0,0,1.248,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,California Public Utilities Commission,SCE-INT-500422068,SCE-CSI-54740,08-Nov-2013,3.22,14490.0,535.0,RES,0,0,-1,0,0,0,92703,Santa Ana,CA,Southern California Edison,0,True Power Solar,0,270.0,-1.0,-1.0,24.0,-1,-1,SMX Capital,SMX230P,14,-1,-1,-1,-1,-1,-1,0,Polycrystalline,-1,-1,0,-1,-1,0,-1,-1,230.0,-1.0,-1.0,0.141374901652242,-1.0,-1.0,Enphase Energy,M215-60-2LL-S2x-NA [240V],14.0,-1,-1,-1,-1,-1,-1,0,1,-1,-1,0,-1,-1,0.215,-1.0,-1.0,0,1.06976744186047,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,SCE-INT-NST-161375,-1,07-Oct-2020,3.9,23322.0,0.0,RES,0,0,-1,-1,0,0,93111,SANTA BARBARA,CA,Southern California Edison,1,Sunrun Inc.,0,178.0,-1.0,-1.0,26.0,-1,-1,"Jinko Solar Co., Ltd",JKM325M-60HBL-Q,12,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,325.0,-1.0,-1.0,0.199386503067485,-1.0,-1.0,SolarEdge Technologies Ltd.,SE3800H-US [240V],1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,3.747,-1.0,-1.0,1,1.04083266613291,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
Connecticut Green Bank,-1,RPV-12575,-1,11-Sep-2015,10.75,40097.5,0.0,RES,0,0,-1,-1,0,0,06460,Milford,CT,United Illuminating,1,Sungevity Development LLC,0,106.0,286.0,-1.0,30.0,30,-1,"HYUNDAI ENERGY SOLUTIONS CO., LTD.",HIS-M250RG(BK),20,"HYUNDAI ENERGY SOLUTIONS CO., LTD.",HIS-M250RG(BK),23,-1,-1,-1,0,Polycrystalline,Polycrystalline,-1,0,0,-1,0,0,-1,250.0,250.0,-1.0,0.152744513417078,0.152744513417078,-1.0,ABB,PVI-4.2-OUTD-S-US-A [240V],2.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,4.2,-1.0,-1.0,0,1.2797619047619,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
