data_provider_1,data_provider_2,system_ID_1,system_ID_2,installation_date,PV_system_size_DC,total_installed_price,rebate_or_grant,customer_segment,expansion_system,multiple_phase_system,TTS_link_ID,new_construction,tracking,ground_mounted,zip_code,city,state,utility_service_territory,third_party_owned,installer_name,self_installed,azimuth_1,azimuth_2,azimuth_3,tilt_1,tilt_2,tilt_3,module_manufacturer_1,module_model_1,module_quantity_1,module_manufacturer_2,module_model_2,module_quantity_2,module_manufacturer_3,module_model_3,module_quantity_3,additional_modules,technology_module_1,technology_module_2,technology_module_3,BIPV_module_1,BIPV_module_2,BIPV_module_3,bifacial_module_1,bifacial_module_2,bifacial_module_3,nameplate_capacity_module_1,nameplate_capacity_module_2,nameplate_capacity_module_3,efficiency_module_1,efficiency_module_2,efficiency_module_3,inverter_manufacturer_1,inverter_model_1,inverter_quantity_1,inverter_manufacturer_2,inverter_model_2,inverter_quantity_2,inverter_manufacturer_3,inverter_model_3,inverter_quantity_3,additional_inverters,micro_inverter_1,micro_inverter_2,micro_inverter_3,built_in_meter_inverter_1,built_in_meter_inverter_2,built_in_meter_inverter_3,output_capacity_inverter_1,output_capacity_inverter_2,output_capacity_inverter_3,DC_optimizer,inverter_loading_ratio,battery_manufacturer,battery_model,battery_rated_capacity_kW,battery_rated_capacity_kWh,battery_price,technology_type,extensions_multiphase_id
California Public Utilities Commission,-1,PGE-INT-124192656,-1,19-Aug-2022,13.785016286645,40500.0,0.0,RES,0,0,-1,-1,1,0,95762,EL DORADO HILLS,CA,Pacific Gas and Electric,0,Fuzion Energy,0,-1.0,-1.0,-1.0,-1.0,-1,-1,"China Sunergy (Nanjing) Co.,Ltd.",CSUN300-60MM5BB,46,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,300.0,-1.0,-1.0,-1.0,-1.0,-1.0,SolarEdge Technologies Ltd.,SE10000H-US [240V],1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,0,-1,-1,9.994,-1.0,-1.0,1,1.37932922620022,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
Xcel Energy,-1,SRO21828,-1,01-Jan-2013,4.8,24480.0,-1.0,RES,0,0,-1,-1,-1,-1,-1,-1,CO,Xcel Energy,1,redacted,-1,81.0,-1.0,-1.0,18.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1,1.14285714285714,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
Texas Public Utilities Commission,-1,Centerpoint_DG-35124,-1,01-Jul-2022,10.27832504,-1.0,-1.0,-1,0,0,-1,-1,-1,-1,-1,-1,TX,Centerpoint,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1,1.178707,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,PGE-INT-113399629,-1,12-Aug-2014,6.867,-1.0,0.0,RES,0,0,-1,-1,0,-1,94952,PETALUMA,CA,Pacific Gas and Electric,1,Smart Energy USA,0,-1.0,-1.0,-1.0,-1.0,-1,-1,SunPower,SPR-327NE-WHT-D,21,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,327.0,-1.0,-1.0,0.200525659312424,-1.0,-1.0,ABB,PVI-6000-OUTD-US-A [240V],1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,6.0,-1.0,-1.0,0,1.1445,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,SDGE-INT-387451,-1,13-Dec-2022,8.0,18760.0,0.0,RES,0,0,-1,-1,0,0,92082,VALLEY CENTER,CA,San Diego Gas and Electric,0,Solar Permit Specialists,0,175.0,-1.0,-1.0,18.0,-1,-1,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G10 400,20,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,400.0,-1.0,-1.0,0.208333333333333,-1.0,-1.0,Enphase Energy Inc.,IQ8PLUS-72-2-US [240V],20.0,-1,-1,-1,-1,-1,-1,0,1,-1,-1,0,-1,-1,0.290308654785156,-1.0,-1.0,0,1.3778438686095,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
New York State Energy Research and Development Authority,-1,117697,-1,20-Jul-2018,6.18,32828.5,1853.0,RES,0,0,-1,-1,-1,-1,11413,Springfield Gardens,NY,Consolidated Edison,1,Sunnova Energy,0,-1.0,-1.0,-1.0,-1.0,-1,-1,LG Electronics Inc.,LG325E1C-A5,19,-1,-1,-1,-1,-1,-1,-1,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,325.0,-1.0,-1.0,0.196969696969697,-1.0,-1.0,Enphase Energy Inc.,IQ6PLUS-72-2-US [208V],19.0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,0.28,-1.0,-1.0,0,1.16165413533835,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,SCE-INT-SCE-50522,-1,26-Feb-2016,8.215,42061.0,0.0,RES,0,0,-1,-1,0,0,91722,COVINA,CA,Southern California Edison,1,Tesla Energy,0,90.0,-1.0,-1.0,18.0,-1,-1,Kyocera Solar,KU265-6ZPA,18,-1,-1,-1,-1,-1,-1,0,Polycrystalline,-1,-1,0,-1,-1,0,-1,-1,265.0,-1.0,-1.0,0.167060361745573,-1.0,-1.0,ABB,PVI-6000-OUTD-US-Z-A [240V],1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,6.0,-1.0,-1.0,0,1.36916666666667,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
Massachusetts Clean Energy Center,Massachusetts Department of Energy Resources,NFG-SR25630-47433,-1,16-Dec-2015,10.14,56784.0,0.0,RES,0,0,-1,-1,0,0,01824,Chelmsford,MA,National Grid,1,Tesla Energy,0,294.0,-1.0,-1.0,20.0,-1,-1,Trina Solar,TSM-400DE15H(II),39,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,400.0,-1.0,-1.0,0.201418793984829,-1.0,-1.0,SolarEdge Technologies Ltd.,SE10000A-US [240V],1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,9.94,-1.0,-1.0,1,1.02012072434608,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,SCE-INT-NST-231760,-1,20-Oct-2021,12.6247,12837.62,0.0,RES,1,1,tts_extension_id_36024,-1,0,0,93535,LANCASTER,CA,Southern California Edison,1,Freedom Forever,0,90.0,-1.0,-1.0,20.0,-1,-1,"LONGi Green Energy Technology Co., Ltd.",LR4-60HPB-350M,9,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,350.0,-1.0,-1.0,0.19774011299435,-1.0,-1.0,Enphase Energy Inc.,IQ7PLUS-72-2-US [240V],9.0,-1,-1,-1,-1,-1,-1,0,1,-1,-1,0,-1,-1,0.29,-1.0,-1.0,0,-1.0,-1,-1,-1.0,-1.0,-1.0,pv-only,00000000CF42A8F5
California Public Utilities Commission,-1,PGE-INT-113595713,-1,28-Jun-2017,3.9,19968.0,0.0,RES,0,0,-1,-1,0,0,94546,CASTRO VALLEY,CA,Pacific Gas and Electric,1,Tesla Energy,0,168.0,-1.0,-1.0,22.0,-1,-1,REC Solar,REC260PE Z-LINK,15,-1,-1,-1,-1,-1,-1,0,Polycrystalline,-1,-1,0,-1,-1,0,-1,-1,260.0,-1.0,-1.0,0.163846924120599,-1.0,-1.0,ABB,PVI-3.0-OUTD-S-US-Z-A [240V],1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,3.0,-1.0,-1.0,0,1.3,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
Xcel Energy,-1,05069946,-1,31-Jan-2023,6.4,31924.32,-1.0,-1,0,0,-1,-1,-1,-1,80219-1940,-1,CO,Xcel Energy,-1,redacted,-1,270.0,-1.0,-1.0,28.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,0,1.37931034482759,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
Texas Public Utilities Commission,-1,Oncor_DRG-58388,-1,14-Sep-2021,23.40912102,-1.0,-1.0,-1,0,0,-1,-1,-1,-1,-1,-1,TX,Oncor,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1,1.178707,-1,-1,-1.0,-1.0,-1.0,pv+storage,-1
California Public Utilities Commission,-1,SDGE-INT-250764,-1,10-Feb-2020,4.251,18063.0,0.0,RES,0,0,-1,-1,0,0,91950,NATIONAL CITY,CA,San Diego Gas and Electric,0,Sunpower Corp,0,161.0,-1.0,-1.0,18.0,-1,-1,SunPower,SPR-E20-327-E-AC,13,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,327.0,-1.0,-1.0,0.200613496932515,-1.0,-1.0,SunPower,SPR-E20-327-E-AC [240V],13.0,-1,-1,-1,-1,-1,-1,0,1,-1,-1,0,-1,-1,0.315,-1.0,-1.0,0,1.03809523809524,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,SCE-INT-NST-16182,-1,24-Oct-2017,7.035,25995.0,0.0,RES,0,0,-1,-1,0,0,92679,TRABUCO CANYON,CA,Southern California Edison,0,Pell Solar Inc.,0,190.0,-1.0,-1.0,24.0,-1,-1,LG Electronics Inc.,LG335N1C-A5,21,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,335.0,-1.0,-1.0,0.203189899460425,-1.0,-1.0,Enphase Energy Inc.,IQ6PLUS-72-2-US [208V],14.0,-1,-1,-1,-1,-1,-1,0,1,-1,-1,0,-1,-1,0.28,-1.0,-1.0,0,1.79464285714286,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
Tucson Electric Power,-1,TEPDG-48072,-1,19-Sep-2022,18.8,81067.0,0.0,RES,0,0,-1,-1,-1,-1,85718,-1,AZ,Tucson Electric Power,-1,Titan Solar,0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,PGE-INT-113493009,-1,24-Dec-2015,4.0,17400.0,0.0,RES,0,0,tts_extension_id_96213,-1,0,0,95762,EL DORADO HILLS,CA,Pacific Gas and Electric,0,Valley Solar And Water,0,-1.0,-1.0,-1.0,-1.0,-1,-1,SunPower,SPR-X20-250-BLK-A-AC,16,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,250.0,-1.0,-1.0,0.200951384233515,-1.0,-1.0,-1,-1,16.0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,0,-1.0,-1,-1,-1.0,-1.0,-1.0,pv-only,00000001C657497E
California Public Utilities Commission,-1,PGE-INT-113465824,-1,06-Aug-2015,9.62,49254.4,0.0,RES,0,0,-1,-1,0,0,94565,PITTSBURG,CA,Pacific Gas and Electric,0,Tesla Energy,0,-1.0,-1.0,-1.0,-1.0,-1,-1,REC Solar,REC260PE,37,-1,-1,-1,-1,-1,-1,0,Polycrystalline,-1,-1,0,-1,-1,0,-1,-1,260.0,-1.0,-1.0,0.163846924120599,-1.0,-1.0,Fronius International GmbH,FRONIUS PRIMO 8.2-1 208-240 [240V],1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,8.2,-1.0,-1.0,0,1.17317073170732,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
Xcel Energy,-1,05058338,-1,13-Apr-2023,6.32,16386.72,-1.0,-1,0,0,-1,-1,-1,-1,80014-4945,-1,CO,Xcel Energy,-1,redacted,-1,0.0,-1.0,-1.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,0,1.264,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,PGE-INT-123053170,-1,04-Apr-2022,4.42,13815.0,0.0,RES,0,0,-1,-1,0,0,95330,LATHROP,CA,Pacific Gas and Electric,0,Sunrun Inc.,0,144.0,-1.0,-1.0,23.0,-1,-1,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,13,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,340.0,-1.0,-1.0,0.196078431372549,-1.0,-1.0,Enphase Energy Inc.,IQ7-60-2-US [240V],13.0,-1,-1,-1,-1,-1,-1,0,1,-1,-1,0,-1,-1,0.24,-1.0,-1.0,0,1.41666666666667,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
Arizona Public Service,-1,123674,-1,05-May-2021,8.45,-1.0,-1.0,RES,0,0,-1,-1,-1,-1,85020,Phoenix,AZ,Arizona Public Service,0,Titan Solar,0,-1.0,-1.0,-1.0,-1.0,-1,-1,Hanwha Q CELLS,B.LINE PLUS L-G4.2 325,-1,-1,-1,-1,-1,-1,-1,-1,Polycrystalline,-1,-1,0,-1,-1,0,-1,-1,325.0,-1.0,-1.0,0.162988966900702,-1.0,-1.0,SolarEdge Technologies Ltd.,SE7600H-US [240V],-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,7.616,-1.0,-1.0,1,1.11184210526316,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,SCE-INT-SCE-06433,-1,10-Jun-2015,4.5,18990.0,0.0,RES,0,0,-1,-1,0,1,93550,PALMDALE,CA,Southern California Edison,0,Verengo Inc,0,-1.0,-1.0,-1.0,-1.0,-1,-1,Yingli Energy (China),YL250P-29b,8,-1,-1,-1,-1,-1,-1,0,Polycrystalline,-1,-1,0,-1,-1,0,-1,-1,250.0,-1.0,-1.0,0.153045607591062,-1.0,-1.0,Enphase Energy,M215-60-2LL-S2x-NA [240V],8.0,-1,-1,-1,-1,-1,-1,0,1,-1,-1,0,-1,-1,0.215,-1.0,-1.0,0,-1.0,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
Illinois Power Agency,-1,45581,NON319063,29-Nov-2021,8.06,-1.0,0.0,RES,0,0,-1,-1,0,0,60073,Round Lake Beach,IL,ComEd,1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1,1.29166666666667,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
New York State Energy Research and Development Authority,-1,521870,-1,NaT,10.4,69712.54,4160.0,RES,0,0,-1,-1,-1,-1,12533,Hopewell Junction,NY,Central Hudson Gas and Electric,0,-1,0,-1.0,-1.0,-1.0,-1.0,-1,-1,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G10 400,26,-1,-1,-1,-1,-1,-1,-1,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,400.0,-1.0,-1.0,0.208333333333333,-1.0,-1.0,SolarEdge Technologies Ltd.,SE10000H-US [240V],1.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,9.994,-1.0,-1.0,1,1.04062437462477,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,SCE-INT-SCE-22551,-1,24-Sep-2015,14.855,1.0,0.0,RES,0,0,-1,-1,0,0,93277,VISALIA,CA,Southern California Edison,1,Tesla Energy,0,-1.0,-1.0,-1.0,-1.0,-1,-1,Trina Solar,TSM-255PA05A.18,14,-1,-1,-1,-1,-1,-1,0,Polycrystalline,-1,-1,0,-1,-1,0,-1,-1,255.0,-1.0,-1.0,0.157567406409595,-1.0,-1.0,ABB,PVI-4.2-OUTD-S-US-Z-A [240V],1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,4.2,-1.0,-1.0,0,-1.0,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
Texas Public Utilities Commission,-1,Oncor_DG-2014-0902,-1,20-Aug-2014,10.312497,-1.0,-1.0,-1,0,0,-1,-1,-1,-1,-1,-1,TX,Oncor,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1,1.145833,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,SDGE-INT-340206,-1,21-Jan-2022,3.555,14356.0,0.0,RES,1,1,tts_extension_id_105440,-1,0,0,92021,EL CAJON,CA,San Diego Gas and Electric,1,Exo Energy Inc.,0,190.0,-1.0,-1.0,19.0,-1,-1,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G10 395,9,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,395.0,-1.0,-1.0,0.205729166666667,-1.0,-1.0,Enphase Energy Inc.,IQ7PLUS-72-2-US [240V],9.0,-1,-1,-1,-1,-1,-1,0,1,-1,-1,0,-1,-1,0.29,-1.0,-1.0,0,1.36206896551724,-1,-1,-1.0,-1.0,-1.0,pv-only,00000001ED7C612E
Salt River Project,-1,SRP-09580,-1,06-Apr-2022,3.4,14926.0,-1.0,RES,0,0,-1,-1,-1,-1,85282,Tempe,AZ,Salt River Project,0,Sunrun Inc.,0,-1.0,-1.0,-1.0,-1.0,-1,-1,Hanwha Q CELLS,Q.PEAK DUO-G8+ 340,10,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,340.0,-1.0,-1.0,0.196304849884527,-1.0,-1.0,Enphase Energy Inc.,IQ7-60-2-US [240V],10.0,-1,-1,-1,-1,-1,-1,0,1,-1,-1,0,-1,-1,0.24,-1.0,-1.0,0,1.41666666666667,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
VT Public Utilities Commission,-1,22-3678-NMR,-1,08-Dec-2022,16.0,-1.0,-1.0,-1,0,0,-1,-1,0,0,5851,Lyndonville,VT,Village of Lyndonville Electric Department,-1,Natosi Solar LLC,0,-1.0,-1.0,-1.0,-1.0,-1,-1,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G10 400,40,-1,-1,-1,-1,-1,-1,-1,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,400.0,-1.0,-1.0,0.208333333333333,-1.0,-1.0,SolarEdge Technologies,SE11400H-US (240V),-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,11.4,-1.0,-1.0,1,1.40350877192982,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,PGE-INT-113502957,-1,01-Mar-2016,5.1,4178.0,0.0,RES,0,0,-1,-1,0,0,93619,CLOVIS,CA,Pacific Gas and Electric,1,Lifestyle Solar,0,180.0,-1.0,-1.0,18.0,-1,-1,"CSI Solar Co., Ltd.",CS6P-255P,20,-1,-1,-1,-1,-1,-1,0,Polycrystalline,-1,-1,0,-1,-1,0,-1,-1,255.0,-1.0,-1.0,0.164645189616377,-1.0,-1.0,SolarEdge Technologies Ltd.,SE5000x [240V],1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,4.99,-1.0,-1.0,1,1.02204408817635,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
Xcel Energy,-1,05044654,-1,17-Nov-2017,4.55,19792.5,-1.0,-1,0,0,-1,-1,-1,-1,80543,-1,CO,Xcel Energy,0,redacted,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1,1.21430477715506,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
Tucson Electric Power,-1,TEPDG-04667,-1,02-Mar-2017,8.48,37312.0,0.0,RES,0,0,-1,-1,-1,-1,85742,-1,AZ,Tucson Electric Power,-1,Tesla Energy,0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,PGE-INT-123678738,-1,10-Jun-2022,5.92350503256365,24000.0,0.0,RES,0,0,-1,-1,0,0,94510,BENICIA,CA,Pacific Gas and Electric,0,Sungrade Solar,0,250.0,-1.0,-1.0,27.0,-1,-1,Aptos Solar Technology LLC,DNA-120-MF26-370W,16,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,370.0,-1.0,-1.0,0.210227272727273,-1.0,-1.0,SolarEdge Technologies Ltd.,SE5000H-US [240V],1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,5.052,-1.0,-1.0,1,1.17250693439502,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,SCE-INT-SCE-109301,-1,13-Apr-2017,5.7,9234.0,0.0,RES,0,0,-1,-1,0,0,92584,MENIFEE,CA,Southern California Edison,1,Solcius LLC,0,186.0,-1.0,-1.0,14.0,-1,-1,SolarWorld,Sunmodule Plus SW 280 mono black,20,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,280.0,-1.0,-1.0,0.166997181922555,-1.0,-1.0,SolarEdge Technologies,SE3800H-USS3,1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,0,-1,-1,-1.0,-1.0,-1.0,1,-1.0,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
Public Service Company of New Mexico,-1,Qfs <10kW #7532,-1,22-Nov-2016,6.9,-1.0,-1.0,RES,0,0,-1,-1,-1,-1,87111,ALBUQUERQUE,NM,Public Service Company of New Mexico,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
Utah Office of Energy Development,-1,-1,-1,29-Aug-2019,8.19,20475.0,0.0,RES,0,0,-1,-1,-1,-1,84009,South Jordan,UT,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SolarEdge Technologies Ltd.,SE7600H-US [240V],-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,7.616,-1.0,-1.0,1,-1.0,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
Arizona Public Service,-1,13134,-1,14-Sep-2012,12.48,-1.0,-1.0,RES,0,0,-1,-1,-1,-1,85338,Goodyear,AZ,Arizona Public Service,0,American Solar Elec,0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,ABB,PVI-6000-OUTD-US-A [240V],-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,6.0,-1.0,-1.0,0,1.04,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,PGE-INT-113425524,-1,24-Dec-2014,4.25,-1.0,0.0,RES,0,0,-1,-1,0,-1,95963,Orland,CA,Pacific Gas and Electric,1,Sunrun Inc.,0,-1.0,-1.0,-1.0,-1.0,-1,-1,Yingli Energy (China),YL250P-29b,17,-1,-1,-1,-1,-1,-1,0,Polycrystalline,-1,-1,0,-1,-1,0,-1,-1,250.0,-1.0,-1.0,0.153045607591062,-1.0,-1.0,Enphase Energy,M215-60-2LL-S2x-NA [240V],17.0,-1,-1,-1,-1,-1,-1,0,1,-1,-1,0,-1,-1,0.215,-1.0,-1.0,0,1.16279069767442,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
New Hampshire Public Utilities Commission,-1,130072,-1,11-Apr-2014,9.0,22396.7,3750.0,RES,0,0,-1,-1,0,0,03466,West Chesterfield,NH,Public Service Co of NH,0,-1,0,-1.0,-1.0,-1.0,-1.0,-1,-1,Helios USA,6TA,-1,-1,-1,-1,-1,-1,-1,-1,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,255.0,-1.0,-1.0,0.153318903318903,-1.0,-1.0,Exeltech,XLGT18A60 &amp; XLGT18A60-01,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,1.8,-1.0,-1.0,0,-1.0,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
