installation_date,lPV_system_size_DC,PV_system_size_DC,ltotal_installed_price,total_installed_price,lrebate_or_grant,rebate_or_grant,zip_code,city,state,lzip_code_id,zip_code_id,lzip_income,zip_income
########,0.139879086,1.38,3.676968,4753,3.208979,1618,95337,Manteca,CA,4.397627204,24982,6.071235237,1178244
########,0.380211242,2.4,3.690196,4900,2.572872,374,93312,Bakersfield,CA,4.428458774,26820,6.305969691,2022878
########,0.116607744,1.308,3.718585,5231,3.16938,1477,94043,Mountain View,CA,4.436528382,27323,6.459651329,2881717
########,0.116607744,1.308,3.718585,5231,3.16938,1477,94043,Mountain View,CA,4.436528382,27323,6.459651329,2881717
########,0.176091259,1.5,3.720159,5250,3.272074,1871,95035,Milpitas,CA,4.43966421,27521,6.593667348,3923443
12/7/2013 0:00,0.139879086,1.38,3.723291,5288,3.178689,1509,92570,Perris,CA,4.372175286,23560,5.941196281,873366
1/29/2014 0:00,0.176091259,1.5,3.723291,5288,3.213518,1635,92880,Eastvale,CA,4.432022748,27041,6.357136956,2275815
########,0.176091259,1.5,3.733518,5414,3.213518,1635,92570,Perris,CA,4.372175286,23560,5.941196281,873366
11/8/2014 0:00,0.139879086,1.38,3.74398,5546,3.257918,1811,92880,Eastvale,CA,4.432022748,27041,6.357136956,2275815
########,0.139879086,1.38,3.746011,5572,3.25358,1793,91766,Pomona,CA,4.403532305,25324,6.105615765,1275310
4/2/2013 0:00,0.139879086,1.38,3.747334,5589,3.396548,2492,92618,Irvine,CA,4.436401205,27315,6.456929188,2863711
########,0.176091259,1.5,3.755646,5697,3.292699,1962,91764,Ontario,CA,4.384371338,24231,5.999701972,999314
########,0.139879086,1.38,3.766636,5843,3.33965,2186,92694,Rancho Mission Viejo,CA,4.431315507,26997,6.34470501,2211592
########,0.139879086,1.38,3.768268,5865,3.319522,2087,91354,Valencia,CA,4.416723698,26105,6.194046495,1563315
11/8/2013 0:00,0.116607744,1.308,3.777282,5988,3.302764,2008,92108,San Diego,CA,4.381494133,24071,5.984619563,965205
2/6/2014 0:00,0.167317335,1.47,3.778874,6010,3.289143,1946,92584,Menifee,CA,4.41140082,25787,6.153885565,1425232
11/4/2014 0:00,0.122215878,1.325,3.783618,6076,3.243038,1750,93730,Fresno,CA,4.382359298,24119,5.989292268,975646
4/14/2014 0:00,0.122215878,1.325,3.783618,6076,3.236789,1725,93619,Clovis,CA,4.430977553,26976,6.340697677,2191279
########,0.167317335,1.47,3.822495,6645,3.528016,3373,92223,Beaumont,CA,4.416989799,26121,6.196071953,1570623
4/8/2013 0:00,0.167317335,1.47,3.822495,6645,3.528016,3373,92223,Beaumont,CA,4.416989799,26121,6.196071953,1570623
7/11/2014 0:00,0.40654018,2.55,3.829458,6752.4,3.238799,1733,95123,San Jose,CA,4.437893191,27409,6.501446119,3172825
6/24/2014 0:00,0.176091259,1.5,3.836007,6855,3.375481,2374,6259,Pomfret Center,CT,4.196894347,15736,5.212879792,163260
7/24/2014 0:00,0.139879086,1.38,3.850033,7080,3.496791,3139,92530,Lake Elsinore,CA,4.3925035,24689,6.04326401,1104750
########,0.255272505,1.8,3.855089,7162.91,2.439333,275,91739,Rancho Cucamonga,CA,4.420450859,26330,6.227573591,1688782
########,0.234264124,1.715,3.85544,7168.7,2.450249,282,94110,San Francisco,CA,4.440830398,27595,6.71701249,5212097
4/30/2014 0:00,0.176091259,1.5,3.857332,7200,2.701568,503,90028,Los Angeles,CA,4.363724769,23106,5.902054046,798094
1/30/2013 0:00,0.167317335,1.47,3.859918,7243,3.557627,3611,94533,Fairfield,CA,4.426153268,26678,6.28242837,1916145
12/4/2013 0:00,0.167317335,1.47,3.859918,7243,3.526985,3365,92532,Lake Elsinore,CA,4.351970144,22489,5.848418216,705372
########,0.167317335,1.47,3.859918,7243,3.509471,3232,92532,Lake Elsinore,CA,4.351970144,22489,5.848418216,705372
4/15/2013 0:00,0.264817823,1.84,3.860877,7259,3.377306,2384,91350,Santa Clarita,CA,4.420681718,26344,6.229611971,1696727
########,0.292699003,1.962,3.861773,7274,3.35679,2274,93012,Camarillo,CA,4.427323786,26750,6.292282882,1960121
5/2/2013 0:00,0.167317335,1.47,3.866287,7350,2.167317,147,85747,-1,AZ,4.364475949,23146,5.906052605,805476
########,0.167317335,1.47,3.871398,7437,3.528016,3373,92223,Beaumont,CA,4.416989799,26121,6.196071953,1570623
########,0.264817823,1.84,3.872273,7452,3.305781,2022,92563,Murrieta,CA,4.427534794,26763,6.294749638,1971286
6/5/2013 0:00,0.264817823,1.84,3.881156,7606,3.301247,2001,91354,Valencia,CA,4.416723698,26105,6.194046495,1563315
########,0.264817823,1.84,3.886039,7692,3.305781,2022,92570,Perris,CA,4.372175286,23560,5.941196281,873366
1/24/2013 0:00,0.158362492,1.44,3.886378,7698,3.549739,3546,93536,Lancaster,CA,4.427193884,26742,6.291340874,1955874
7/24/2014 0:00,0.485721426,3.06,3.886777,7705.08,3.54083,3474,92563,Murrieta,CA,4.427534794,26763,6.294749638,1971286
########,0.537189226,3.445,3.895674,7864.56,3.475671,2990,92563,Murrieta,CA,4.427534794,26763,6.294749638,1971286
########,0.264817823,1.84,3.898176,7910,3.449015,2812,95762,El Dorado Hills,CA,4.439158941,27489,6.558879375,3621424
5/9/2014 0:00,0.264817823,1.84,3.899711,7938,3.54108,3476,95762,El Dorado Hills,CA,4.439158941,27489,6.558879375,3621424
########,0.511883361,3.25,3.901049,7962.5,2.720986,526,92399,Yucaipa,CA,4.418085748,26187,6.20776897,1613500
########,0.292699003,1.962,3.901622,7973,3.473195,2973,91741,Glendora,CA,4.409510452,25675,6.143216279,1390645
4/24/2014 0:00,0.292699003,1.962,3.901622,7973,3.473195,2973,91741,Glendora,CA,4.409510452,25675,6.143216279,1390645
########,0.264817823,1.84,3.90827,8096,3.600864,3989,91708,Chino,CA,4.283120235,19192,5.544342184,350221
4/18/2014 0:00,0.301029996,2,3.90827,8096,3.419625,2628,91764,Ontario,CA,4.384371338,24231,5.999701972,999314
7/31/2013 0:00,0.283301229,1.92,3.913761,8199,2.494155,312,94588,Pleasanton,CA,4.434840253,27217,6.412301081,2584051
1/24/2013 0:00,0.139879086,1.38,3.922933,8374,3.448861,2811,91387,Santa Clarita,CA,4.417720739,26165,6.203964152,1599426
10/3/2014 0:00,0.485721426,3.06,3.924279,8400,0,1,85648,-1,AZ,4.285602311,19302,5.555752046,359544
########,0.40654018,2.55,3.928164,8475.47,2.605305,403,92646,Huntington Beach,CA,4.43611492,27297,6.446635944,2796636
6/13/2013 0:00,0.264817823,1.84,3.930083,8513,3.620656,4175,92562,Murrieta,CA,4.431379849,27001,6.345526638,2215780
4/17/2013 0:00,0.264817823,1.84,3.930083,8513,3.620656,4175,92562,Murrieta,CA,4.431379849,27001,6.345526638,2215780
1/14/2013 0:00,0.264817823,1.84,3.93882,8686,3.624076,4208,91354,Santa Clarita,CA,4.416723698,26105,6.194046495,1563315
4/11/2014 0:00,0.552668216,3.57,3.940058,8710.8,3.598791,3970,92595,Wildomar,CA,4.373353434,23624,5.947267031,885660
########,0.552668216,3.57,3.940058,8710.8,3.560146,3632,92563,Murrieta,CA,4.427534794,26763,6.294749638,1971286
########,0.389166084,2.45,3.947532,8862,3.596377,3948,95648,Lincoln,CA,4.430687669,26958,6.334404488,2159755
########,0.309630167,2.04,3.951823,8950,0,1,1810,Andover,MA,4.437813959,27404,6.494844324,3124959
11/5/2014 0:00,0.599337133,3.975,3.956944,9056.16,3.551816,3563,91354,Valencia,CA,4.416723698,26105,6.194046495,1563315
7/18/2014 0:00,0.343408594,2.205,3.978819,9524,3.388811,2448,92223,Beaumont,CA,4.416989799,26121,6.196071953,1570623
########,0.468790262,2.943,3.981864,9591,3.543074,3492,95762,El Dorado Hills,CA,4.439158941,27489,6.558879375,3621424
7/9/2014 0:00,0.301029996,2,3.982271,9600,3.430398,2694,93291,Visalia,CA,4.414889822,25995,6.179686195,1512468
########,0.292256071,1.96,3.982452,9604,3.652923,4497,91761,Ontario,CA,4.417056299,26125,6.196860951,1573479
10/4/2013 0:00,0.292256071,1.96,3.982452,9604,3.471292,2960,92590,Temecula,CA,4.238271978,17309,5.364166245,231295
10/2/2013 0:00,0.292256071,1.96,3.982452,9604,3.462398,2900,92590,Temecula,CA,4.238271978,17309,5.364166245,231295
4/11/2013 0:00,0.352182518,2.25,3.987219,9710,3.686189,4855,92582,San Jacinto,CA,4.284611182,19258,5.550876253,355530
8/9/2013 0:00,0.702430536,5.04,3.988534,9739.44,3.038223,1092,92371,Phelan,CA,4.217194318,16489,5.283606485,192135
9/3/2014 0:00,0.343408594,2.205,3.990783,9790,3.502427,3180,92618,Irvine,CA,4.436401205,27315,6.456929188,2863711
2/9/2013 0:00,0.283301229,1.92,3.990871,9792,2.488551,308,94086,Sunnyvale,CA,4.438668901,27458,6.535969347,3435337
11/8/2013 0:00,0.292256071,1.96,3.991226,9800,2.894316,784,2131,Boston,MA,4.390758529,24590,6.033259658,1079592
########,0.301029996,2,3.991226,9800,3.489537,3087,92590,Temecula,CA,4.238271978,17309,5.364166245,231295
1/10/2014 0:00,0.301029996,2,3.991226,9800,3.430398,2694,93245,Lemoore,CA,4.366553693,23257,5.916526588,825138
12/4/2013 0:00,0.301029996,2,3.991226,9800,3.430398,2694,93245,Lemoore,CA,4.366553693,23257,5.916526588,825138
########,0.301029996,2,3.991226,9800,3.430398,2694,93245,Lemoore,CA,4.366553693,23257,5.916526588,825138
12/6/2013 0:00,0.315970345,2.07,3.993701,9856,3.450095,2819,92620,Irvine,CA,4.436877928,27345,6.468371703,2940165
########,0.315970345,2.07,3.993701,9856,3.450095,2819,92620,Irvine,CA,4.436877928,27345,6.468371703,2940165
7/1/2014 0:00,0.661812686,4.59,3.994537,9875,0,1,84109,-1,UT,4.403686623,25333,6.10720963,1279999
########,0.477121255,3,3.996731,9925,3.624488,4212,95765,Rocklin,CA,4.422671898,26465,6.246579819,1764330
5/6/2014 0:00,0.343408594,2.205,3.997867,9951,3.384174,2422,93063,Simi Valley,CA,4.42975228,26900,6.320423606,2091335
4/25/2013 0:00,0.292256071,1.96,3.999826,9996,2.463893,291,93401,San Luis Obispo,CA,4.40761182,25563,6.131322833,1353078
4/24/2013 0:00,0.46834733,2.94,3.999826,9996,3.070407,1176,2465,Newton,MA,4.426657628,26709,6.286905353,1936000
########,0.380211242,2.4,4.007961,10185,2.579784,380,95129,San Jose,CA,4.437147839,27362,6.475091112,2986009
########,0.301029996,2,4.0086,10200,3.364363,2314,93245,Lemoore,CA,4.366553693,23257,5.916526588,825138
7/31/2013 0:00,0.225309282,1.68,4.019319,10454.88,4.010342,10241,93550,Palmdale,CA,4.394889257,24825,6.056327694,1138486
########,0.397940009,2.5,4.019698,10464,3.510411,3239,92620,Irvine,CA,4.436877928,27345,6.468371703,2940165
4/3/2013 0:00,0.334453751,2.16,4.020154,10475,3.676236,4745,91801,Alhambra,CA,4.410557923,25737,6.149378941,1410519
########,0.511883361,3.25,4.024078,10570.07,2.701568,503,90245,El Segundo,CA,4.405551248,25442,6.119548181,1316886
10/9/2013 0:00,0.343408594,2.205,4.028368,10675,3.702086,5036,92532,Lake Elsinore,CA,4.351970144,22489,5.848418216,705372
2/2/2013 0:00,0.477121255,3,4.029424,10701,2.679428,478,94579,San Leandro,CA,4.353435338,22565,5.8565839,718760
4/7/2014 0:00,0.343408594,2.205,4.032578,10779,3.706718,5090,92223,Beaumont,CA,4.416989799,26121,6.196071953,1570623
1/2/2013 0:00,0.343408594,2.205,4.032578,10779,3.674034,4721,92591,Temecula,CA,4.4066083,25504,6.125765497,1335874
########,0.636989102,4.335,4.038045,10915.53,3.676694,4750,93313,Bakersfield,CA,4.3937331,24759,6.050349977,1122923
########,0.334453751,2.16,4.040998,10990,3.151676,1418,94303,Palo Alto,CA,4.440058543,27546,6.625715067,4223914
9/5/2013 0:00,0.361727836,2.3,4.041985,11015,3.512951,3258,95762,El Dorado Hills,CA,4.439158941,27489,6.558879375,3621424
12/5/2013 0:00,0.352182518,2.25,4.042379,11025,2.849419,707,91326,Porter Ranch,CA,4.426998959,26730,6.28927248,1946581
########,0.440909082,2.76,4.043048,11042,3.501059,3170,92618,Irvine,CA,4.436401205,27315,6.456929188,2863711
########,0.477121255,3,4.043912,11064,3.742882,5532,95762,El Dorado Hills,CA,4.439158941,27489,6.558879375,3621424
10/6/2014 0:00,0.46834733,2.94,4.05945,11467,3.591732,3906,92584,Menifee,CA,4.41140082,25787,6.153885565,1425232
########,0.361727836,2.3,4.059601,11471,3.711048,5141,91387,Santa Clarita,CA,4.417720739,26165,6.203964152,1599426
6/21/2013 0:00,0.352182518,2.25,4.059753,11475,3.298198,1987,91406,Van Nuys,CA,4.404611383,25387,6.113908273,1299895
1/13/2013 0:00,0.216165902,1.645,4.060698,11500,2.478566,301,92882,Corona,CA,4.427047698,26733,6.289628189,1948176
########,0.53529412,3.43,4.066773,11662,3.137354,1372,2026,Dedham,MA,4.422195743,26436,6.243181714,1750579
1/17/2013 0:00,0.292256071,1.96,4.067502,11681.6,3.190051,1549,90034,Los Angeles,CA,4.433353736,27124,6.379902602,2398295
########,0.176091259,1.5,4.068446,11707,3.173769,1492,92570,Perris,CA,4.372175286,23560,5.941196281,873366
########,0.661812686,4.59,4.068713,11714.22,3.724194,5299,92563,Murrieta,CA,4.427534794,26763,6.294749638,1971286
########,0.520483533,3.315,4.07013,11752.5,3.122544,1326,1604,Worcester,MA,4.373022403,23606,5.945151858,881357
7/31/2014 0:00,0.892094603,7.8,4.072739,11823.3,3.971276,9360,78732,-1,TX,4.413584729,25917,6.170615463,1481206
6/5/2013 0:00,0.507855872,3.22,4.075583,11901,3.624798,4215,91350,Santa Clarita,CA,4.420681718,26344,6.229611971,1696727
4/16/2014 0:00,0.139879086,1.38,4.076331,11921.5,3.33965,2186,92694,Rancho Mission Viejo,CA,4.431315507,26997,6.34470501,2211592
########,0.397940009,2.5,4.079181,12000,2.628389,425,91792,West Covina,CA,4.354377388,22614,5.86060988,725454
3/9/2013 0:00,0.234264124,1.715,4.079362,12005,2.456366,286,93940,Monterey,CA,4.412880358,25875,6.164958066,1462036
########,0.389166084,2.45,4.079362,12005,2.598791,397,94702,Berkeley,CA,4.361708953,22999,5.892989552,781609
2/5/2014 0:00,0.507855872,3.22,4.079398,12006,3.590842,3898,92880,Eastvale,CA,4.432022748,27041,6.357136956,2275815
########,0.494154594,3.12,4.080266,12030,2.494155,312,85749,-1,AZ,4.38795902,24432,6.016608024,1038982
########,0.361727836,2.3,4.08239,12089,3.7091,5118,92127,San Diego,CA,4.438526527,27449,6.525852491,3356236
7/24/2014 0:00,0.361727836,2.3,4.086004,12190,3.360783,2295,10302,Staten Island,NY,4.306038816,20232,5.64019612,436713
########,0.397940009,2.5,4.088136,12250,2.481443,303,90601,Whittier,CA,4.385159239,24275,6.002324194,1005366
########,0.343408594,2.205,4.089163,12279,3.706888,5092,92223,Beaumont,CA,4.416989799,26121,6.196071953,1570623
########,0.62324929,4.2,4.090293,12311,3.783868,6079.5,78745,-1,TX,4.421751957,26409,6.240176943,1738509
8/7/2013 0:00,0.414973348,2.6,4.096215,12480,2.599883,398,94131,San Francisco,CA,4.437940723,27412,6.502175347,3178157
########,0.440909082,2.76,4.096354,12484,3.625621,4223,91941,La Mesa,CA,4.410237192,25718,6.147010308,1402847
########,0.389166084,2.45,4.096736,12495,2.591065,390,94582,San Ramon,CA,4.438700533,27460,6.537050785,3443902
########,0.602059991,4,4.096736,12495,3.656386,4533,94588,Pleasanton,CA,4.434840253,27217,6.412301081,2584051
6/12/2013 0:00,0.361727836,2.3,4.097257,12510,3.699838,5010,95616,Davis,CA,4.417388646,26145,6.199695951,1583784
8/7/2013 0:00,0.507855872,3.22,4.104111,12709,3.762003,5781,92260,Palm Desert,CA,4.391235126,24617,6.036193584,1086910
9/3/2014 0:00,0.507855872,3.22,4.104111,12709,3.625004,4217,91764,Ontario,CA,4.384371338,24231,5.999701972,999314
7/17/2014 0:00,0.459392488,2.88,4.105142,12739.2,3.675595,4738,94603,Oakland,CA,4.344745854,22118,5.815564467,653980
########,0.477121255,3,4.10551,12750,2.875061,750,5403,South Burlington,VT,4.372562218,23581,5.942897569,876794
6/27/2013 0:00,0.380211242,2.4,4.106361,12775,2.703291,505,92307,Apple Valley,CA,4.380518758,24017,5.980373387,955814
########,0.51851394,3.3,4.111464,12926,2.916454,825,85635,-1,AZ,4.363912686,23116,5.903122558,800060
1/6/2014 0:00,0.507855872,3.22,4.111733,12934,3.719828,5246,94568,Dublin,CA,4.439900853,27536,6.613241849,4104326
########,0.421603927,2.64,4.1118,12936,3.807129,6414,91913,Chula Vista,CA,4.420500339,26333,6.227801636,1689669
########,0.50242712,3.18,4.112873,12968,3.583864,3835.87,78745,-1,TX,4.421751957,26409,6.240176943,1738509
########,0.520483533,3.315,4.113943,13000,2.841359,694,90710,Harbor City,CA,4.348908172,22331,5.83528906,684367
7/15/2014 0:00,0.40654018,2.55,4.11411,13005,2.944976,881,90032,Los Angeles,CA,4.373849508,23651,5.949730965,890699
1/17/2013 0:00,0.421603927,2.64,4.118397,13134,3.840984,6934,91913,Chula Vista,CA,4.420500339,26333,6.227801636,1689669
7/24/2013 0:00,0.361727836,2.3,4.126261,13374,3.715502,5194,91350,Saugus,CA,4.420681718,26344,6.229611971,1696727
11/2/2013 0:00,0.477121255,3,4.127072,13399,2.812913,650,93536,Quartz Hill,CA,4.427193884,26742,6.291340874,1955874
