installation_date,lPV_system_size_DC,PV_system_size_DC,ltotal_installed_price,total_installed_price,lrebate_or_grant,rebate_or_grant,zip_code,city,state,lzip_code_id,zip_code_id,lzip_income,zip_income
3/1/2010 0:00,0.09,1.225,4.012204,10285,3.498586,3152,95521,Arcata,CA,4.287667391,19394,5.563473966,365994
3/1/2010 0:00,0.09,1.225,4.012204,10285,3.496238,3135,95521,Arcata,CA,4.287667391,19394,5.563473966,365994
6/18/2010 0:00,0.11,1.295,3.951143,8936,2.815578,654,95010,Capitola,CA,4.317227349,20760,5.692213074,492281
########,0.11,1.296,4.247973,17700,3.207365,1612,92028,Fallbrook,CA,4.419707981,26285,6.221544376,1665499
3/4/2010 0:00,0.12,1.33,3.990431,9782.07,3.990378,9780.89,94607,Oakland,CA,4.379849179,23980,5.977381521,949252
########,0.13,1.35,4.156599,14341.63,3.409426,2567,90504,Torrance,CA,4.397992121,25003,6.074646053,1187534
########,0.15,1.4,3.977724,9500,3.623249,4200,85705,-1,AZ,4.341948646,21976,5.803537685,636118
12/3/2009 0:00,0.15,1.4,4.237544,17280,3.335257,2164,94124,San Francisco,CA,4.385570528,24298,6.004203539,1009726
########,0.15,1.4,4.060622,11498,3.301898,2004,94708,Berkeley,CA,4.417737337,26166,6.203998363,1599552
########,0.15,1.41,4.041393,11000,3.446615,2796.5,86401,-1,AZ,4.331265292,21442,5.756201596,570429
########,0.15,1.41,4.272352,18722,3.081707,1207,94609,Oakland,CA,4.385784959,24310,6.005008821,1011600
6/6/2010 0:00,0.16,1.44,4.049941,11218.66,3.010724,1025,94952,Petaluma,CA,4.423851824,26537,6.258013165,1811395
4/24/2009 0:00,0.16,1.456,4.117414,13104.31,3.421604,2640,92404,San Bernardino,CA,4.379722385,23973,5.976994293,948406
6/8/2010 0:00,0.18,1.5,4.059639,11472,3.509203,3230,93212,Corcoran,CA,4.234137489,17145,5.348900392,223306
1/7/2009 0:00,0.18,1.505,4.171697,14849,3.446848,2798,91030,South Pasadena,CA,4.422704717,26467,6.246817045,1765294
########,0.18,1.505,4.143483,13915,3.135133,1365,94110,San Francisco,CA,4.440830398,27595,6.71701249,5212097
11/7/2009 0:00,0.18,1.512,4.258733,18144,3.26998,1862,92065,Ramona,CA,4.407067826,25531,6.128158143,1343254
1/9/2009 0:00,0.18,1.52,4.060698,11500,3.36661,2326,93420,Arroyo Grande,CA,4.40387516,25344,6.108420235,1283572
1/6/2010 0:00,0.20,1.575,4.25799,18113,3.382197,2411,90740,Seal Beach,CA,4.412174844,25833,6.160036723,1445562
########,0.20,1.584,4.346666,22216,3.359835,2290,90715,Lakewood,CA,4.322281332,21003,5.714393474,518076
1/21/2009 0:00,0.21,1.61,4.160978,14487,3.310056,2042,94114,San Francisco,CA,4.440578515,27579,6.690416539,4902488
5/6/2010 0:00,0.21,1.61,4.143452,13914,3.165244,1463,94122,San Francisco,CA,4.438399934,27441,6.52195776,3326272
7/22/2010 0:00,0.21,1.62,3.966842,9264.93,3.959661,9113,90063,Los Angeles,CA,4.358562977,22833,5.878629781,756188
########,0.23,1.68,4.170232,14799,3.395676,2487,94114,San Francisco,CA,4.440578515,27579,6.690416539,4902488
########,0.23,1.7,4.184691,15300,2.946943,885,94708,Kensington,CA,4.417737337,26166,6.203998363,1599552
12/2/2009 0:00,0.24,1.728,4.298242,19872,3.330211,2139,92105,San Diego,CA,4.389059714,24494,6.023674611,1056026
7/18/2009 0:00,0.24,1.75,4.136403,13690,3.512684,3256,93013,Carpinteria,CA,4.342047446,21981,5.804037835,636851
########,0.25,1.792,4.312008,20512,3.366796,2327,92865,Orange,CA,4.352356201,22509,5.85064501,708998
6/2/2010 0:00,0.26,1.8,4.138934,13770,3.837904,6885,19701,Bear,DE,4.415257217,26017,6.182490833,1522267
########,0.26,1.8,4.348811,22326,3.384891,2426,91731,El Monte,CA,4.311817412,20503,5.665731983,463161
10/7/2009 0:00,0.26,1.8,4.208291,16154.4,3.332236,2149,94112,San Francisco,CA,4.436655522,27331,6.462263945,2899105
########,0.26,1.8,4.289901,19494,2.997386,994,92026,Escondido,CA,4.419129308,26250,6.216511089,1646308
########,0.26,1.8,3.986727,9699,2.977266,949,94109,San Francisco,CA,4.440704475,27587,6.704806098,5067644
7/23/2010 0:00,0.26,1.84,4.263399,18340,3.507856,3220,17315,Dover,PA,4.353973902,22593,5.858451774,721858
4/4/2010 0:00,0.26,1.84,4.381097,24049,3.466274,2926,92708,Fountain Valley,CA,4.431669271,27019,6.351271862,2245287
########,0.26,1.84,4.146128,14000,3.440909,2760,5301,Guilford,VT,4.306231965,20241,5.641042576,437565
7/31/2009 0:00,0.26,1.84,4.226084,16830,3.381476,2407,94127,San Francisco,CA,4.431428099,27004,6.346902342,2222810
