installation_date,lPV_system_size_DC,PV_system_size_DC,ltotal_installed_price,total_installed_price,lrebate_or_grant,rebate_or_grant,zip_code,city,state,lzip_code_id,zip_code_id,lzip_income,zip_income
1/17/2004,0.97,9.24,4.7737864449811935,59400,4.45484486,28500,93727,Fresno,CA,4.412662107,25862,6.163666962,1457696
10/3/2001,0.69,4.915812,4.7684753027894065,58678,4.265678477728486,18436.5,95133,San Jose,CA,4.392661786,24698,6.044156644,1107023
12/12/2002,0.98,9.6,4.763534307818844,58014.2,4.760422483423212,57600,11949,Manorville,NY,4.342817315,22020,5.80798127,642660
8/22/2003,0.81,6.4,4.763218283534145,57972,4.376339672571035,23787,92675,San Juan Capistrano,CA,4.431122422,26985,6.342093677,2198334
7/17/2005,0.78,6.012,4.759540936630924,57483.2,4.142464553774022,13882.4,95003,Aptos,CA,4.411703863,25805,6.156522802,1433913
12/31/2004,0.88,7.52,4.744936045140824,55582.24,4.298730845688062,19894.4,92831,Fullerton,CA,4.39733157,24965,6.069391303,1173252
8/27/2003,0.87,7.425,4.7423322823571485,55250,4.389166084364533,24500,92270,Rancho Mirage,CA,4.392802437,24706,6.044890817,1108896
10/9/2003,0.87,7.425,4.738384123512156,54750,4.389166084364533,24500,92210,Indian Wells,CA,4.29620433,19779,5.598283717,396537
8/8/2004,0.89,7.82,4.737868772372546,54685.07,4.389747472382791,24532.82,92040,Lakeside,CA,4.408477405,25614,6.136643846,1369758
1/29/2005,0.87,7.425,4.7351995484223135,54350,4.292256071356476,19600,92545,Hemet,CA,4.360612345,22941,5.888273309,773167
3/30/2005,0.75,5.6,4.731685443363646,53912,4.200544086611016,15868.8,95120,San Jose,CA,4.43977466,27528,6.603664132,4014802
3/26/2004,0.86,7.2,4.728860271694184,53562.43,4.360460871050178,22933,91935,Jamul,CA,4.304339705,20153,5.633207801,429742
6/26/2002,0.69,4.9158,4.728702700936549,53543,4.2610962581323335,18243,95118,San Jose,CA,4.421719065,26407,6.23981732,1737070
12/26/2003,0.89,7.8,4.723247998430472,52874.71,4.408782494404144,25632,94558,Napa,CA,4.43841576,27442,6.522444886,3330005
11/19/2004,0.78,6.08,4.719306422084043,52397,4.203859327762493,15990.4,95065,Santa Cruz,CA,4.309991929,20417,5.658076297,455068
10/13/2002,0.78,6,4.718086294783092,52250,4.360271454,22923,91755,Monterey Park,CA,4.349024844,22337,5.835934595,685385
4/8/2004,0.78,6,4.713557740135992,51708,4.278492946059397,18988.6,95132,San Jose,CA,4.426478729,26698,6.285384007,1929230
9/22/2005,0.86,7.181,4.7124392366451895,51575,4.240249631518799,17388,95337,Manteca,CA,4.397627204,24982,6.071235237,1178244
9/16/2004,0.96,9.018,4.706973676176178,50930,4.350248018334163,22400,95747,Roseville,CA,4.437481026,27383,6.482186598,3035195
9/15/2004,0.77,5.92,4.706426647746722,50865.89,4.271041954749921,18665.6,95407,Santa Rosa,CA,4.376065722,23772,5.959979123,911967
12/28/2001,0.72,5.214516,4.703265577680112,50497,4.291202294560029,19552.5,95125,San Jose,CA,4.440389506,27567,6.655450784,4523252
9/10/2004,0.77,5.94,4.702947246181556,50460,4.191696877382912,15548.8,95692,Wheatland,CA,4.171931123,14857,5.129486873,134737
12/23/2004,0.77,5.92,4.6965835256348845,49726,4.210072269543308,16220.8,96001,Redding,CA,4.379867289,23981,5.977489938,949489
3/10/2004,0.77,5.92,4.694254112025279,49460,4.271041954749921,18665.6,95403,Santa Rosa,CA,4.414036936,25944,6.174373271,1494078
5/22/2005,0.85,7.014,4.691143403420095,49107,4.248414697348722,17718,95409,Santa Rosa,CA,4.411350293,25784,6.153749029,1424784
3/27/2003,0.78,6,4.690196080028514,49000,4.354175691934893,22603.5,93720,Fresno,CA,4.427388723,26754,6.292891316,1962869
2/24/2001,0.98,9.474,4.686644758474751,48600.95,4.374473389063976,23685,92083,Vista,CA,4.365019743,23175,5.909396616,811702
3/27/2003,0.78,6,4.681241237375588,48000,4.347817712708912,22275,94937,Inverness,CA,4.012204296,10285,4.738867726,54811
2/21/2003,0.78,6,4.681060243631812,47980,4.347817712708912,22275,93010,Camarillo,CA,4.42737249,26753,6.292828697,1962586
9/11/2005,0.83,6.8,4.680024414527043,47865.7,4.200434601526638,15864.8,95320,Escalon,CA,4.297891764,19856,5.604660131,402402
6/30/2003,0.95,9,4.677725546364215,47613,4.653212513775344,45000,11961,Ridge,NY,4.313761796,20595,5.675205318,473375
6/15/2005,0.85,7.014,4.674360449496338,47245.5,4.239349539006136,17352,95776,Woodland,CA,4.35711501,22757,5.872941373,746348
5/13/2004,0.77,5.94,4.672042412547821,46994,4.269979676645324,18620,92270,Rancho Mirage,CA,4.392802437,24706,6.044890817,1108896
9/6/2002,0.70,5.04,4.669037800885156,46670,4.271155948604317,18670.5,95060,Santa Cruz,CA,4.432424077,27066,6.362767764,2305514
2/7/2003,0.78,6,4.666714492,46421,4.347817712708912,22275,93551,Palmdale,CA,4.421949251,26421,6.241157832,1742440
7/16/2005,0.78,6.08,4.660410083538616,45752,4.437116093048078,27360,11768,Northport,NY,4.424244422,26561,6.261915129,1827743
12/12/2002,0.76,5.76,4.656491094301585,45341,4.331639836,21460.5,93647,Orosi,CA,4.162026432,14522,5.098487975,125455
4/25/2004,0.79,6.16,4.653473012322734,45027,4.278753600952829,19000,92562,Murrieta,CA,4.431379849,27001,6.345526638,2215780
9/4/2005,0.96,9.12,4.6531835598447415,44997,4.313036840233308,20560.65,91775,San Gabriel,CA,4.380012144,23989,5.978040296,950693
8/24/2005,0.82,6.68,4.6512780139981444,44800,4.189333074565896,15464.4,93308,Bakersfield,CA,4.391623078,24639,6.038116438,1091733
1/29/2003,0.77,5.88,4.651084089243011,44780,4.350054094,22390,93531,Keene,CA,3.796851749,6264,4.429784568,26902
1/29/2004,0.64,4.408,4.647626361,44424.89,4.162205831,14528,94937,Inverness,CA,4.012204296,10285,4.738867726,54811
6/15/2005,0.78,6,4.645225711535416,44180,4.176091259055681,15000,91362,Westlake Village,CA,4.437782262,27402,6.494384904,3121655
10/1/2003,0.78,6,4.643186095799396,43973,4.2948188094826865,19716,92270,Rancho Mirage,CA,4.392802437,24706,6.044890817,1108896
6/10/2004,0.77,5.92,4.642433158893239,43896.83,4.271041954749921,18665.6,93657,Sanger,CA,4.360971884,22960,5.889945662,776150
10/17/2005,0.77,5.94,4.641642639586013,43817,4.3979400086720375,25000,6489,Southington,CT,4.412594931,25858,6.163178078,1456056
11/29/2001,0.72,5.2461,4.641448131381369,43797.38,4.293892667053009,19674,92122,San Diego,CA,4.425680917,26649,6.27763259,1895102
6/8/2003,0.68,4.8,4.636457805623982,43297,4.181614951728961,15192,92064,Poway,CA,4.435286812,27245,6.421453707,2639087
2/15/2004,0.68,4.8,4.635483746814912,43200,4.184333629188071,15287.4,92264,Palm Springs,CA,4.358715114,22841,5.878998339,756830
10/8/2005,0.74,5.46,4.628388930050312,42500,4.133379211923519,13595,95404,Santa Rosa,CA,4.42258984,26460,6.246242951,1762962
10/9/2004,0.78,6,4.628388930050312,42500,4.278492946059397,18988.6,95472,Sebastopol,CA,4.406028945,25470,6.122365643,1325457
5/13/2005,0.80,6.3,4.627836769732419,42446,4.2071764070951625,16113,92591,Temecula,CA,4.4066083,25504,6.125765497,1335874
5/22/2005,0.76,5.76,4.626535396748938,42319,4.159176032,14427,92629,Dana Point,CA,4.427551021,26764,6.295208742,1973371
12/3/2003,0.76,5.76,4.61998439,41685.44,4.285827252753274,19312,93654,Reedley,CA,4.334694959,21612,5.77120225,590476
6/30/2004,0.95,8.88,4.618466492,41540,4.398828534231048,25051.2,93101,Santa Barbara,CA,4.400710637,25160,6.088721017,1226651
12/18/2004,0.78,6,4.613629377731933,41079.9,4.203859327762493,15990.4,91941,La Mesa,CA,4.410237192,25718,6.147010308,1402847
6/27/2004,0.69,4.95,4.612636277449473,40986.07,4.205312653309609,16044,93060,Santa Paula,CA,4.355891913,22693,5.868392251,738571
3/17/2004,0.80,6.27,4.610371069460834,40772.85,4.278753600952829,19000,92020,El Cajon,CA,4.415574263,26036,6.185293632,1532123
10/29/2005,0.79,6.12,4.610191553568625,40756,4.154728207440155,14280,93611,Clovis,CA,4.418914175,26237,6.214237531,1637712
8/18/2004,0.78,6.012,4.607497914378785,40504,4.278753600952829,19000,92373,Redlands,CA,4.41936087,26264,6.218486664,1653814
6/2/2005,0.77,5.94,4.607090277191581,40466,4.1385931834862815,13759.2,94710,Berkeley,CA,4.285579811,19301,5.55542458,359273
8/7/2002,0.68,4.8,4.605822873252771,40348.08,4.2583019756569245,18126,92071,Santee,CA,4.424505956,26577,6.264853934,1840153
