installation_date,lPV_system_size_DC,PV_system_size_DC,ltotal_installed_price,total_installed_price,lrebate_or_grant,rebate_or_grant,zip_code,city,state,lzip_code_id,zip_code_id,lzip_income,zip_income
########,0.83,6.72,4.62181,41861,3.788734,6148,94301,Palo Alto,CA,4.441695136,27650,6.970392861,9340989
########,0.83,6.75,4.66619,46365,3.226342,1684,94025,Menlo Park,CA,4.441600884,27644,6.910014471,8128576
10/3/2012 0:00,0.57,3.675,4.333155,21535.5,3.593618,3923,90049,Los Angeles,CA,4.441569463,27642,6.903368986,8005141
########,0.65,4.44,4.457942,28704,3.097604,1252,95070,Saratoga,CA,4.441396603,27631,6.817673037,6571629
7/1/2011 0:00,0.84,6.9,4.768881,58732.8,4.259293,18167.4,90272,Pacific Palisades,CA,4.441380885,27630,6.81632119,6551205
########,0.51,3.22,4.30963,20400,2.913284,819,95014,Cupertino,CA,4.441302287,27625,6.799205415,6298040
11/3/2012 0:00,0.54,3.43,4.369234,23401,2.716838,521,95014,Cupertino,CA,4.441302287,27625,6.799205415,6298040
########,0.70,5.016,4.431364,27000,3.162266,1453,95014,Cupertino,CA,4.441302287,27625,6.799205415,6298040
9/4/2011 0:00,0.41,2.585,4.322219,21000,2.795185,624,94022,Los Altos,CA,4.441255121,27622,6.790314163,6170412
6/16/2011 0:00,0.92,8.385,4.728972,53576.2,3.644832,4414,94022,Los Altos Hills,CA,4.441255121,27622,6.790314163,6170412
7/19/2012 0:00,0.55,3.57,4.308543,20349,3.291369,1956,90266,Manhattan Beach,CA,4.441239398,27621,6.789557164,6159666
########,0.71,5.16,4.614653,41176.8,3.664736,4621,90266,Manhattan Beach,CA,4.441239398,27621,6.789557164,6159666
1/7/2012 0:00,0.82,6.58,4.660915,45805.2,3.780677,6035,90266,Manhattan Beach,CA,4.441239398,27621,6.789557164,6159666
2/1/2012 0:00,1.00,9.9,4.822031,66379,4.125676,13356,90210,Beverly Hills,CA,4.441223674,27620,6.78050057,6032545
11/1/2012 0:00,1.13,13.44,4.825192,66864,3.537945,3451,90210,Beverly Hills,CA,4.441223674,27620,6.78050057,6032545
4/12/2012 0:00,0.63,4.3,4.350306,22403,3.071145,1178,94062,Redwood City,CA,4.441082136,27611,6.749563027,5617758
6/3/2011 0:00,0.37,2.35,4.273071,18753,3.046495,1113,94024,Los Altos,CA,4.441066407,27610,6.749344114,5614927
7/23/2011 0:00,0.47,2.96,4.357782,22792,3.171141,1483,94024,Los Altos,CA,4.441066407,27610,6.749344114,5614927
9/8/2012 0:00,0.53,3.36,4.223132,16716,2.695482,496,94024,Los Altos,CA,4.441066407,27610,6.749344114,5614927
########,0.89,7.68,4.582154,38208,3.056524,1139,94024,Los Altos,CA,4.441066407,27610,6.749344114,5614927
########,0.83,6.76,4.537517,34476,3.084219,1214,94027,Atherton,CA,4.441050677,27609,6.748695777,5606551
########,0.96,9.156,4.711343,51445,3.26031,1821,94027,Atherton,CA,4.441050677,27609,6.748695777,5606551
########,0.84,6.84,4.537487,34473.63,3.560146,3632,92130,San Diego,CA,4.440861874,27597,6.719965441,5247657
1/26/2012 0:00,0.94,8.64,4.696295,49693,3.253096,1791,92130,San Diego,CA,4.440861874,27597,6.719965441,5247657
########,0.24,1.75,4.197281,15750,2.957128,906,94110,San Francisco,CA,4.440830398,27595,6.71701249,5212097
########,0.67,4.7,4.484983,30548,3.124178,1331,94110,San Francisco,CA,4.440830398,27595,6.71701249,5212097
########,0.51,3.22,4.205443,16048.8,2.944976,881,94087,Sunnyvale,CA,4.440767441,27591,6.709265805,5119951
########,0.70,5.016,4.424506,26577,3.089552,1229,94087,Sunnyvale,CA,4.440767441,27591,6.709265805,5119951
6/23/2012 0:00,0.71,5.17,4.458774,28759,3.028164,1067,94087,Sunnyvale,CA,4.440767441,27591,6.709265805,5119951
########,0.78,6.075,4.599883,39800,3.10721,1280,94087,Sunnyvale,CA,4.440767441,27591,6.709265805,5119951
########,0.52,3.33,4.410624,25740.9,2.965672,924,94539,Fremont,CA,4.440594262,27580,6.691855986,4918764
########,0.71,5.13,4.469793,29498,2.951823,895,94539,Fremont,CA,4.440594262,27580,6.691855986,4918764
12/4/2012 0:00,0.73,5.39,4.537769,34496,2.961895,916,94539,Fremont,CA,4.440594262,27580,6.691855986,4918764
