installation_date,lPV_system_size_DC,PV_system_size_DC,ltotal_installed_price,total_installed_price,lrebate_or_grant,rebate_or_grant,zip_code,city,state,lzip_code_id,zip_code_id,lzip_income,zip_income
########,0.171726454,1.485,4.09691,12500,3.522405,3329.7,92694,Ladera Ranch,CA,4.431315507,26997,6.34470501,2211592
########,0.174931594,1.496,4.040246,10971,3.488551,3080,93286,Woodlake,CA,4.180297952,15146,5.156894269,143514
########,0.176958981,1.503,4.080069,12024.55,3.528055,3373.3,92660,Ladera Ranch,CA,4.4411765,27617,6.773668058,5938381
########,0.179551791,1.512,4.192882,15591.3,3.656319,4532.3,92260,Palm Desert,CA,4.391235126,24617,6.036193584,1086910
6/25/2008 0:00,0.179551791,1.512,4.183839,15270,3.546296,3518,94582,San Ramon,CA,4.438700533,27460,6.537050785,3443902
########,0.181843588,1.52,4.152288,14200,3.534026,3420,2445,Brookline,MA,4.437909036,27410,6.501484717,3173107
6/22/2006 0:00,0.184691431,1.53,4.241795,17450,3.554949,3588.8,92240,Desert Hot Springs,CA,4.32292187,21034,5.717932498,522315
########,0.187520721,1.54,4.182883,15236.42,3.53064,3393.44,92882,Corona,CA,4.427047698,26733,6.289628189,1948176
########,0.197280558,1.575,3.958739,9093.67,3.526352,3360.1,94578,San Leandro,CA,4.392028293,24662,6.040188416,1096954
########,0.197280558,1.575,3.958739,9093.67,3.526352,3360.1,94578,San Leandro,CA,4.392028293,24662,6.040188416,1096954
########,0.214843848,1.64,4.156912,14352,3.519171,3305,94703,Berkeley,CA,4.378851946,23925,5.972209783,938015
12/2/2007 0:00,0.243038049,1.75,4.184953,15309.22,3.506234,3208,95125,San Jose,CA,4.440389506,27567,6.655450784,4523252
########,0.246498581,1.764,4.189209,15460,3.612784,4100,94519,Concord,CA,4.347856705,22277,5.829496107,675299
1/23/2008 0:00,0.246498581,1.764,4.217957,16518,3.56265,3653,94519,Concord,CA,4.347856705,22277,5.829496107,675299
10/4/2008 0:00,0.255272505,1.8,4.130334,13500,3.453165,2839,95203,Stockton,CA,4.245636029,17605,5.392457762,246864
########,0.271841607,1.87,4.138555,13758,3.54506,3508,90290,Topanga,CA,4.322364035,21007,5.714982388,518779
########,0.276461804,1.89,4.257328,18085.38,3.753231,5665.4,92260,Palm Desert,CA,4.391235126,24617,6.036193584,1086910
1/23/2008 0:00,0.276461804,1.89,4.239475,17357,3.658393,4554,94583,San Ramon,CA,4.440074309,27547,6.626678123,4233291
8/6/2008 0:00,0.276461804,1.89,4.239475,17357,3.636989,4335,94583,San Ramon,CA,4.440074309,27547,6.626678123,4233291
########,0.276461804,1.89,3.961516,9152,3.544316,3502,94107,San Francisco,CA,4.438906086,27473,6.548629043,3536951
7/29/2007 0:00,0.284114768,1.9236,4.104091,12708.4,3.716869,5210.37,95476,Sonoma,CA,4.425322238,26627,6.2735545,1877390
7/29/2007 0:00,0.284114768,1.9236,4.104091,12708.4,3.716869,5210.37,95476,Sonoma,CA,4.425322238,26627,6.2735545,1877390
6/8/2008 0:00,0.284430734,1.925,4.138934,13770,3.581495,3815,93274,Tulare,CA,4.411198674,25775,6.152866611,1421892
########,0.284430734,1.925,4.113208,12978,3.438859,2747,93727,Fresno,CA,4.412662107,25862,6.163666962,1457696
########,0.288696261,1.944,4.191171,15530,3.487986,3076,95125,San Jose,CA,4.440389506,27567,6.655450784,4523252
1/30/2008 0:00,0.290034611,1.95,4.292256,19600,3.622618,4193.9,95020,Gilroy,CA,4.43506359,27231,6.416213991,2607438
8/3/2007 0:00,0.29666519,1.98,4.317604,20778,3.840733,6930,5001,White River Junction,VT,4.230397825,16998,5.332705015,215132
6/4/2008 0:00,0.29666519,1.98,4.244153,17545,3.564192,3666,94536,Fremont,CA,4.439332694,27500,6.569919303,3714662
11/7/2007 0:00,0.297541668,1.984,4.260071,18200,3.627335,4239.7,93722,Fresno,CA,4.420582793,26338,6.228772122,1693449
########,0.301029996,2,4.278502,18989,3.563837,3663,93923,Carmel by the Sea,CA,4.383582005,24187,5.996390385,991723
########,0.301897717,2.004,4.208785,16172.8,3.664764,4621.3,93720,Fresno,CA,4.427388723,26754,6.292891316,1962869
4/20/2008 0:00,0.301897717,2.004,4.209515,16200,3.632579,4291.2,93722,Fresno,CA,4.420582793,26338,6.228772122,1693449
1/27/2008 0:00,0.301897717,2.004,4.209515,16200,3.632579,4291.2,93722,Fresno,CA,4.420582793,26338,6.228772122,1693449
########,0.301897717,2.004,4.209515,16200,3.632579,4291.2,93654,Reedley,CA,4.334694959,21612,5.77120225,590476
########,0.301897717,2.004,4.267406,18510,3.548144,3533,94024,Los Altos,CA,4.441066407,27610,6.749344114,5614927
7/27/2008 0:00,0.306425028,2.025,4.30827,20336.22,3.494155,3120,94610,Oakland,CA,4.433385757,27126,6.380526895,2401745
7/17/2007 0:00,0.309630167,2.04,4.278986,19010.17,3.91169,8160,14606,Rochester,NY,4.323169566,21046,5.718637022,523163
########,0.309630167,2.04,4.290035,19500,3.786751,6120,85750,-1,AZ,4.417787127,26169,6.204315914,1600722
4/28/2007 0:00,0.309630167,2.04,4.211496,16274.05,3.677406,4757.8,92028,Fallbrook,CA,4.419707981,26285,6.221544376,1665499
7/29/2007 0:00,0.309630167,2.04,4.190527,15506.98,3.645393,4419.7,94028,Portola Valley,CA,4.433145537,27111,6.375528825,2374263
4/7/2007 0:00,0.309630167,2.04,4.249361,17756.65,3.645393,4419.7,92404,San Bernardino,CA,4.379722385,23973,5.976994293,948406
########,0.309630167,2.04,4.231317,17034,3.624614,4213.22,90275,Rancho Palos Verdes,CA,4.439048335,27482,6.555046661,3589605
2/2/2006 0:00,0.309630167,2.04,4.33724,21739,3.552668,3570,5828,Danville,VT,4.065206128,11620,4.845346137,70040
1/22/2008 0:00,0.311753861,2.05,4.190507,15506.26,3.693375,4936,95973,Chico,CA,4.397227181,24959,6.068699658,1171385
11/5/2008 0:00,0.311753861,2.05,4.188281,15427,3.665206,4626,93727,Fresno,CA,4.412662107,25862,6.163666962,1457696
4/24/2008 0:00,0.311753861,2.05,4.188141,15422,3.664736,4621,93722,Fresno,CA,4.420582793,26338,6.228772122,1693449
########,0.311753861,2.05,4.188141,15422,3.664736,4621,93722,Fresno,CA,4.420582793,26338,6.228772122,1693449
7/21/2008 0:00,0.311753861,2.05,4.188141,15422,3.664736,4621,93727,Fresno,CA,4.412662107,25862,6.163666962,1457696
7/2/2008 0:00,0.311753861,2.05,4.188141,15422,3.664736,4621,93245,Lemoore,CA,4.366553693,23257,5.916526588,825138
9/7/2007 0:00,0.311753861,2.05,4.280373,19071,3.612996,4102,95010,Capitola,CA,4.317227349,20760,5.692213074,492281
########,0.318063335,2.08,4.255273,18000,3.678801,4773.1,94124,San Francisco,CA,4.385570528,24298,6.004203539,1009726
10/6/2007 0:00,0.318063335,2.08,4.257567,18095.35,3.563718,3662,53820,POTOSI,WI,4.070000904,11749,4.857223909,71982
########,0.320146286,2.09,4.222716,16700,3.89415,7837,11771,Oyster Bay,NY,4.431878179,27032,6.354554803,2262324
7/28/2007 0:00,0.322219295,2.1,4.340345,21895,3.720573,5255,53713,MADISON,WI,4.32170197,20975,5.712579839,515917
11/6/2008 0:00,0.322219295,2.1,4.190507,15506.26,3.701741,5032,95973,Chico,CA,4.397227181,24959,6.068699658,1171385
7/7/2007 0:00,0.322219295,2.1,4.297979,19860,3.633468,4300,94550,Livermore,CA,4.438099127,27422,6.508248582,3222913
11/4/2007 0:00,0.322219295,2.1,4.201502,15903.84,3.629104,4257,92109,San Diego,CA,4.430993652,26977,6.340743259,2191509
########,0.322219295,2.1,4.300921,19995,3.6289,4255,92870,Placentia,CA,4.425632024,26646,6.277156349,1893025
5/5/2008 0:00,0.322219295,2.1,4.284318,19245,3.09691,1250,5753,Cornwall,VT,4.287308952,19378,5.562516498,365188
########,0.334453751,2.16,4.312177,20520,4.074816,11880,1754,Maynard,MA,4.309821726,20409,5.657574019,454542
